user_id,user_type,profile,requests_sent,requests_succeeded,requests_failed,requests_rate_limited,success_rate,rate_limited_rate,avg_response_time,anomalous
prm_user_3,PRM,premium_heavy,771,88,0,683,0.11413748378728923,0.8858625162127107,0.26153849720491046,False
std_user_5,STD,standard_heavy,341,31,0,310,0.09090909090909091,0.9090909090909091,0.1507632865234554,False
prm_user_2,PRM,premium_heavy,871,142,0,729,0.16303099885189437,0.8369690011481056,0.35170399499404853,False
prm_user_1,PRM,premium_light,166,23,0,143,0.13855421686746988,0.8614457831325302,0.3018009332289179,False
std_user_17,STD,standard_heavy,350,350,0,0,1.0,0.0,0.18457468237195696,False
prm_user_8,PRM,premium_light,201,201,0,0,1.0,0.0,0.5824084969895396,False
prm_user_4,PRM,premium_heavy,912,912,0,0,1.0,0.0,0.13929926407964607,False
prm_user_5,PRM,premium_heavy,881,881,0,0,1.0,0.0,0.22333276880721092,False
std_user_12,STD,standard_heavy,405,405,0,0,1.0,0.0,0.28330939375324016,False
anom_user_2,PRM,anomalous_scanner,1437,1437,0,0,1.0,0.0,0.2312662199958796,True
prm_user_6,PRM,premium_heavy,746,746,0,0,1.0,0.0,0.2538945463962913,False
std_user_19,STD,standard_heavy,439,439,0,0,1.0,0.0,0.3008283895349177,False
prm_user_9,PRM,premium_heavy,894,894,0,0,1.0,0.0,0.2301743267899925,False
anom_user_4,PRM,anomalous_scanner,1480,1480,0,0,1.0,0.0,0.2619529733786712,True
std_user_10,STD,standard_heavy,366,366,0,0,1.0,0.0,0.23836950330786366,False
std_user_3,STD,standard_light,30,19,0,11,0.6333333333333333,0.36666666666666664,0.3902878999710083,False
std_user_13,STD,standard_medium,173,173,0,0,1.0,0.0,0.5565852043945665,False
std_user_16,STD,standard_heavy,418,418,0,0,1.0,0.0,0.36678653698788877,False
std_user_15,STD,standard_light,30,30,0,0,1.0,0.0,0.363421376546224,False
std_user_9,STD,standard_medium,170,170,0,0,1.0,0.0,0.19719369691960953,False
anom_user_0,PRM,anomalous_heavy,1114,1114,0,0,1.0,0.0,0.15855856344130564,True
std_user_0,STD,standard_heavy,368,368,0,0,1.0,0.0,0.29787877007671026,False
anom_user_1,STD,anomalous_burst,1326,1326,0,0,1.0,0.0,0.5712513751034284,True
std_user_2,STD,standard_medium,150,18,0,132,0.12,0.88,0.320574254989624,False
std_user_14,STD,standard_medium,134,134,0,0,1.0,0.0,0.18149335348784035,False
std_user_18,STD,standard_medium,89,89,0,0,1.0,0.0,0.358316866199622,False
anom_user_3,STD,anomalous_scanner,1539,1539,0,0,1.0,0.0,0.2738250081147212,True
prm_user_0,PRM,premium_light,117,117,0,0,1.0,0.0,0.26598394222748584,False
std_user_6,STD,standard_medium,135,135,0,0,1.0,0.0,0.19060852262708877,False
prm_user_7,PRM,premium_light,153,153,0,0,1.0,0.0,0.2968381666669659,False
std_user_7,STD,standard_heavy,461,461,0,0,1.0,0.0,0.24823356605662183,False
std_user_4,STD,standard_light,30,19,0,11,0.6333333333333333,0.36666666666666664,0.2792236566543579,False
std_user_8,STD,standard_light,40,40,0,0,1.0,0.0,0.2742348849773407,False
std_user_11,STD,standard_light,39,39,0,0,1.0,0.0,1.0606725888374524,False
std_user_1,STD,standard_light,50,6,0,44,0.12,0.88,0.3948693752288818,False
